experiment,eval,weather,class,mAP50,mAP50_std,mAP50_n,mAP50-95,mAP50-95_std,mAP50-95_n,precision,precision_std,precision_n,recall,recall_std,recall_n
S2_acdc,5fold,overall,car,0.6614,0.0117,5,0.4138,0.0092,5,0.6051,0.032,5,0.6503,0.0204,5
S2_acdc,5fold,overall,truck,0.2932,0.0583,5,0.1886,0.0441,5,0.3787,0.0372,5,0.3552,0.0697,5
S2_acdc,5fold,overall,bus,0.153,0.0627,5,0.0933,0.0459,5,0.3474,0.115,5,0.1648,0.0765,5
S2_acdc,5fold,overall,bicycle,0.1433,0.0257,5,0.0611,0.014,5,0.4847,0.1196,5,0.116,0.0119,5
S2_acdc,5fold,fog,person,0.337,0.153,5,0.1746,0.0738,5,0.4981,0.2033,5,0.2926,0.1047,5
S2_acdc,5fold,fog,rider,0.3611,0.2362,5,0.2159,0.1378,5,0.5439,0.3487,5,0.3029,0.2025,5
S2_acdc,5fold,fog,car,0.7255,0.029,5,0.4656,0.0231,5,0.696,0.0647,5,0.6931,0.0392,5
S2_acdc,5fold,fog,truck,0.4284,0.0547,5,0.258,0.0464,5,0.6221,0.0537,5,0.3595,0.0483,5
S2_acdc,5fold,fog,bus,0.5934,0.2932,5,0.5064,0.2476,5,0.4339,0.2554,5,0.6065,0.2778,5
S2_acdc,5fold,fog,bicycle,0.3715,0.0583,5,0.1594,0.0188,5,0.6164,0.2289,5,0.2923,0.0598,5
S2_acdc,5fold,night,person,0.2517,0.0499,5,0.1072,0.0251,5,0.5639,0.1482,5,0.2239,0.037,5
S2_acdc,5fold,night,rider,0.1644,0.0715,5,0.0698,0.0397,5,0.4781,0.1305,5,0.1483,0.0667,5
S2_acdc,5fold,night,car,0.4945,0.0372,5,0.2975,0.0214,5,0.4536,0.1146,5,0.5102,0.0242,5
S2_acdc,5fold,night,truck,0.0688,0.0523,5,0.0386,0.0366,5,0.1283,0.0818,5,0.19,0.1234,5
S2_acdc,5fold,night,bus,0.0421,0.0348,5,0.0135,0.0086,5,0.1023,0.1404,5,0.0354,0.0491,5
S2_acdc,5fold,night,bicycle,0.1174,0.0539,5,0.049,0.0243,5,0.4588,0.231,5,0.1027,0.0422,5
S2_acdc,5fold,rain,person,0.267,0.035,5,0.0981,0.0174,5,0.643,0.0965,5,0.1916,0.051,5
S2_acdc,5fold,rain,rider,0.2366,0.1463,5,0.0887,0.0793,5,0.6538,0.2661,5,0.1989,0.1398,5
S2_acdc,5fold,rain,car,0.7051,0.0334,5,0.4279,0.0174,5,0.7591,0.1282,5,0.6382,0.0475,5
S2_acdc,5fold,rain,truck,0.2561,0.1608,5,0.1946,0.1261,5,0.2486,0.1819,5,0.3875,0.1931,5
S2_acdc,5fold,rain,bus,0.1767,0.1462,5,0.0956,0.1119,5,0.3368,0.2402,5,0.1672,0.1655,5
S2_acdc,5fold,rain,bicycle,0.1438,0.0731,5,0.0705,0.0336,5,0.6506,0.307,5,0.1102,0.0459,5
S2_acdc,5fold,snow,person,0.389,0.0812,5,0.1834,0.0535,5,0.6039,0.2084,5,0.3468,0.0857,5
S2_acdc,5fold,snow,rider,0.2033,0.1332,5,0.0845,0.0587,5,0.3457,0.2369,5,0.2478,0.0999,5
S2_acdc,5fold,snow,car,0.7064,0.017,5,0.4563,0.0174,5,0.666,0.1339,5,0.6695,0.07,5
S2_acdc,5fold,snow,truck,0.2591,0.0798,5,0.1793,0.0761,5,0.2822,0.1022,5,0.3386,0.0703,5
