epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,6622.37,1.19326,0.68007,0.93278,0.64688,0.43658,0.48767,0.28716,1.19128,0.67502,0.93019,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132
55,6744.69,1.18908,0.67433,0.92859,0.6481,0.43236,0.48591,0.28587,1.19272,0.67548,0.92959,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
56,6867.08,1.18845,0.67432,0.92837,0.66433,0.43436,0.48755,0.28623,1.19223,0.67305,0.92942,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993
57,6989.34,1.19064,0.6746,0.92855,0.65517,0.43921,0.48865,0.28726,1.1933,0.67329,0.92861,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
58,7111.67,1.18127,0.66603,0.92751,0.64266,0.44263,0.4879,0.28682,1.19314,0.67352,0.92834,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548
59,7233.96,1.18367,0.66529,0.92583,0.65046,0.43748,0.49019,0.2871,1.19216,0.67299,0.92832,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
60,7356.33,1.17814,0.6631,0.92432,0.6538,0.443,0.49146,0.2889,1.19216,0.67288,0.92821,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994
61,7478.49,1.17482,0.65922,0.92564,0.63738,0.44712,0.4918,0.28888,1.19304,0.67172,0.92904,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
62,7600.89,1.18022,0.66214,0.9241,0.64152,0.44848,0.49255,0.28962,1.19221,0.67091,0.92942,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151
63,7723.1,1.17528,0.65943,0.92592,0.65786,0.43822,0.49416,0.28942,1.19255,0.67137,0.92962,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
64,7845.34,1.17362,0.65848,0.92484,0.64471,0.44894,0.49366,0.28953,1.19151,0.67093,0.92912,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268
65,7967.47,1.16797,0.65117,0.92381,0.64821,0.44226,0.49407,0.28908,1.19053,0.67004,0.92867,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
66,8089.84,1.16743,0.64879,0.92204,0.65579,0.43706,0.49388,0.28859,1.19081,0.67013,0.92908,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225
67,8211.91,1.16766,0.65024,0.92194,0.64784,0.43986,0.49308,0.28779,1.19082,0.67027,0.92893,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
68,8334.36,1.16468,0.64728,0.92169,0.64275,0.44062,0.49217,0.28749,1.19119,0.67026,0.92875,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145
69,8456.69,1.16466,0.64633,0.91904,0.64669,0.43777,0.48983,0.2874,1.19106,0.66992,0.92867,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
70,8578.85,1.15903,0.64347,0.92144,0.66262,0.43692,0.49148,0.28634,1.19075,0.66963,0.92821,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691
71,8696.77,1.18186,0.63403,0.92441,0.65016,0.43779,0.48856,0.28441,1.19363,0.67195,0.92936,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
72,8814.09,1.17753,0.62728,0.92126,0.64414,0.43744,0.48817,0.28393,1.19515,0.67279,0.92972,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953
73,8931.41,1.17346,0.62355,0.92057,0.65634,0.43225,0.48754,0.28394,1.19624,0.6737,0.93009,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
74,9048.76,1.17117,0.62097,0.91988,0.64017,0.43935,0.48772,0.28429,1.19596,0.6738,0.93029,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847
75,9165.95,1.17088,0.62099,0.91953,0.6302,0.4465,0.48764,0.28361,1.19604,0.67414,0.93047,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
76,9283.26,1.1696,0.62017,0.91955,0.62932,0.44665,0.48839,0.28451,1.19559,0.67362,0.93038,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113
77,9400.42,1.16653,0.61527,0.91781,0.62749,0.44818,0.48923,0.28447,1.19548,0.67343,0.93026,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
78,9517.71,1.16665,0.61747,0.91839,0.63131,0.44802,0.48899,0.28531,1.19573,0.67324,0.93026,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311
79,9634.93,1.16943,0.61854,0.91905,0.64217,0.4459,0.48877,0.28546,1.19551,0.67305,0.93025,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
80,9752.14,1.16815,0.61529,0.91807,0.6393,0.44654,0.48906,0.2858,1.19531,0.67322,0.93019,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816
